,100,500,1000,1500,2000,2500,3000
type_I_error_feat_0,0.04,0.02,0.03,0.09,0.11,0.2,0.2
power_feat_1,0.34,0.53,0.65,0.71,0.7,0.73,0.76
power_feat_2,0.9,0.99,0.99,1.0,0.99,1.0,0.99
